,formula,full_name,band_gap,formation_energy,nn_ave_eleneg,o2p_center_from_vbm,vacancy_formation_energy,charge
842,BaCa(GaO2)4,BaCa(GaO2)4_Va_O2,3.1133000000000006,-2.6343520764285713,2.049749882923683,1.950754625902917,3.198934351035861,1
843,BaCa(GaO2)4,BaCa(GaO2)4_Va_O3,3.1133000000000006,-2.6343520764285713,2.0079246625902845,1.942056585405768,3.2293854271972577,1
844,BaCeO3,BaCeO3_Va_O1,2.8160000000000003,-3.5906097180000005,1.8350108684217412,1.4264059625723655,3.117252769801058,1
845,BaCeO3,BaCeO3_Va_O2,2.8160000000000003,-3.5906097180000005,1.810524567323138,1.4759702902994876,3.1251180143363237,1
846,BaGa2B2O7,BaGa2B2O7_Va_O1,4.0867,-2.7636706123611106,2.0813793101847797,1.866419096298746,3.621720748461952,1
847,BaGa2B2O7,BaGa2B2O7_Va_O2,4.0867,-2.7636706123611106,2.183171644268999,4.10971585937684,3.3634981886891593,1
848,BaGa2B2O7,BaGa2B2O7_Va_O3,4.0867,-2.7636706123611106,2.177652698351102,3.0107618446602507,4.306586375097774,1
849,BaGa2B2O7,BaGa2B2O7_Va_O4,4.0867,-2.7636706123611106,2.413505392208307,2.8267349497719536,4.297949204699917,1
850,BaGa4O7,BaGa4O7_Va_O1,2.4256,-2.486273411249999,2.184562762634154,3.418343293318623,2.8898694193552057,1
851,BaGa4O7,BaGa4O7_Va_O2,2.4256,-2.486273411249999,2.031120713759927,2.3815695472863627,3.5725117855337647,1
852,BaGa4O7,BaGa4O7_Va_O3,2.4256,-2.486273411249999,2.2079276758982274,2.430248638420524,3.4637445156588917,1
853,BaGa4O7,BaGa4O7_Va_O4,2.4256,-2.486273411249999,2.207244346453633,2.4264080351591204,3.265648159709074,1
854,BaGeO3,BaGeO3_Va_O1,3.4095,-2.6960020335,2.0186865948217916,1.490996637447907,2.838170724500455,1
855,BaGeO3,BaGeO3_Va_O2,3.4095,-2.6960020335,2.0131570978094837,1.4936078308699072,2.831752251157943,1
856,BaGeO3,BaGeO3_Va_O3,3.4095,-2.6960020335,2.316511368749405,2.730229943585275,2.439628506503587,1
857,BaGePbO4,BaGePbO4_Va_O1,3.3755,-2.3497993528571435,2.2075584447447465,2.290866305566537,2.317810102001155,1
858,BaGePbO4,BaGePbO4_Va_O2,3.3755,-2.3497993528571435,2.110424425675723,1.6952815919881998,2.7724702706881565,1
859,BaGePbO4,BaGePbO4_Va_O3,3.3755,-2.3497993528571435,2.2985402101320074,2.0406621833416136,2.3951274725023044,1
860,BaGePbO4,BaGePbO4_Va_O4,3.3755,-2.3497993528571435,2.177517978021965,2.340345299702852,2.408856036792394,1
861,BaLiBO3,BaLiBO3_Va_O1,4.3964,-2.9588598808333337,1.6729691364717565,2.577250853989843,4.331915393334127,1
