,formula,full_name,band_gap,formation_energy,nn_ave_eleneg,o2p_center_from_vbm,vacancy_formation_energy,charge,vacancy_index,vr_max,Eb_sum
1853,LiInGeO4,LiInGeO4_Va_O1,2.1927000000000003,-2.173107275119047,2.179260467474238,2.3440319972379275,-0.4259494999170857,2,111,-1.502819088333178,8.216124497577827
1854,LiInGeO4,LiInGeO4_Va_O2,2.1927000000000003,-2.173107275119047,1.9411984979021404,2.1485906027408217,0.8516604951266005,2,95,-1.502819088333178,8.159178861184914
1855,LiInGeO4,LiInGeO4_Va_O3,2.1927000000000003,-2.173107275119047,1.9675439401673396,1.935897082154968,1.3331370376094045,2,107,-1.502819088333178,8.074331995055804
1856,LiInO2,LiInO2_Va_O1,1.9281999999999997,-2.0632245620833327,1.4302139050490523,1.639714659382878,0.920767508380906,2,63,-1.5993795332042406,9.608211749301981
1857,LiInSiO4,LiInSiO4_Va_O1,3.0281,-2.6540285472619045,2.1348981284626527,2.615830962606502,0.0980879765459674,2,111,-1.5993795332042406,8.76654330710539
1858,LiInSiO4,LiInSiO4_Va_O2,3.0281,-2.6540285472619045,1.9533932384269577,2.246415449729202,2.6597637921988375,2,95,-1.5993795332042406,8.607626601317794
1859,LiInSiO4,LiInSiO4_Va_O3,3.0281,-2.6540285472619045,1.9401956693506897,2.154711932666509,2.3479846859616145,2,107,-1.5993795332042406,8.677670213748906
1860,LiSb3O8,LiSb3O8_Va_O1,1.1262,-1.960145810277778,2.5763752285228496,2.7469254629996245,0.0197348816512525,2,47,-0.5208045461292565,6.300814309388144
1861,LiSb3O8,LiSb3O8_Va_O2,1.1262,-1.960145810277778,2.7927754650524235,3.559907060411964,-0.8653054829613551,2,63,-0.5208045461292565,7.220648200612483
1862,LiSb3O8,LiSb3O8_Va_O3,1.1262,-1.960145810277778,2.5571000482100716,2.735852057888418,0.100802340047728,2,79,-0.5208045461292565,6.265916277978478
1863,LiSb3O8,LiSb3O8_Va_O4,1.1262,-1.960145810277778,2.5187492582146556,2.795003904936185,0.3079623590763627,2,95,-0.5208045461292565,6.073697876919056
1864,LiSbO3,LiSbO3_Va_O1,2.3049999999999997,-2.118194097166666,2.185232051394197,2.4652643178020996,0.2658743965471202,2,359,-0.5208045461292565,6.757032426374687
1865,LiSbO3,LiSbO3_Va_O2,2.3049999999999997,-2.118194097166666,2.239950188964073,2.6229005923662303,0.158361908165729,2,287,-0.5208045461292565,7.790321027235265
1866,Mg(GaO2)2,Mg(GaO2)2_Va_O1,2.6435999999999997,-2.5373796199999994,2.057437557842043,2.164471286507033,1.568397404266948,2,111,-1.8812876656363955,8.204829482070764
