,formula,full_name,band_gap,formation_energy,nn_ave_eleneg,o2p_center_from_vbm,vacancy_formation_energy,charge,vacancy_index,vr_max
254,LiSb3O8,LiSb3O8_Va_O3,1.1262,-1.960145810277778,2.5571000482100716,2.735852057888418,3.753090139999935,0,79,-0.5208045461292565
255,LiSb3O8,LiSb3O8_Va_O4,1.1262,-1.960145810277778,2.5187492582146556,2.795003904936185,3.961730699999984,0,95,-0.5208045461292565
256,LiSbO3,LiSbO3_Va_O1,2.3049999999999997,-2.118194097166666,2.185232051394197,2.4652643178020996,4.270184690000301,0,359,-0.5208045461292565
257,LiSbO3,LiSbO3_Va_O2,2.3049999999999997,-2.118194097166666,2.239950188964073,2.6229005923662303,4.159277680000182,0,287,-0.5208045461292565
258,Mg(GaO2)2,Mg(GaO2)2_Va_O1,2.6435999999999997,-2.5373796199999994,2.057437557842043,2.164471286507033,5.6557862899999325,0,111,-1.8812876656363955
259,Mg(GaO2)2,Mg(GaO2)2_Va_O2,2.6435999999999997,-2.5373796199999994,2.164791428412206,2.4422308896483296,5.611477139999929,0,95,-1.8812876656363955
260,Mg(SbO2)2,Mg(SbO2)2_Va_O1,2.3566000000000003,-2.1705149424999997,2.247257477502938,2.5266811950259194,4.938437779999967,0,79,-1.2369755737418262
261,Mg(SbO2)2,Mg(SbO2)2_Va_O2,2.3566000000000003,-2.1705149424999997,2.3913436234518324,3.5438403880333182,4.459129279999965,0,111,-1.2369755737418262
262,Mg(SbO3)2,Mg(SbO3)2_Va_O1,1.2204999999999997,-2.227293432222222,2.623422811678609,2.951558788863369,4.452067259999987,0,71,-0.5208045461292565
263,Mg(SbO3)2,Mg(SbO3)2_Va_O2,1.2204999999999997,-2.227293432222222,2.6181543766427833,2.9552288083076332,4.4524430099999766,0,63,-0.5208045461292565
264,Mg2GeO4,Mg2GeO4_Va_O1,3.2892,-2.729311635,2.054104618635752,1.9219571448136403,4.6922941199999375,0,79,-1.502819088333178
265,Mg2GeO4,Mg2GeO4_Va_O2,3.2892,-2.729311635,1.988359071101306,2.036416461331928,5.010346599999943,0,95,-1.502819088333178
266,Mg2GeO4,Mg2GeO4_Va_O3,3.2892,-2.729311635,2.000085437055408,2.560866760737587,4.642545649999997,0,111,-1.502819088333178
267,Mg2SiO4,Mg2SiO4_Va_O1,4.7105,-3.2217519799999996,2.0246774317016203,2.240792191255425,6.759763320000056,0,79,-2.356834901289411
268,Mg2SiO4,Mg2SiO4_Va_O2,4.7105,-3.2217519799999996,1.9624047356842675,2.4262009460250775,6.886883860000021,0,95,-2.356834901289411
