,formula,full_name,band_gap,formation_energy,nn_ave_eleneg,o2p_center_from_vbm,vacancy_formation_energy,charge,vacancy_index,vr_max,Eb_sum
1316,Sr(BiO2)2,Sr(BiO2)2_Va_O2,2.4357,-2.1114339966666664,2.029107554714632,1.6113191240651374,0.3173486918524233,2,239,-0.9858147743813158,6.080905588667724
1317,Sr(BiO2)2,Sr(BiO2)2_Va_O3,2.4357,-2.1114339966666664,1.9921489585095735,1.479765478436082,0.5371041497430014,2,287,-0.9858147743813158,5.9676524714118635
1318,Sr(BiO2)2,Sr(BiO2)2_Va_O4,2.4357,-2.1114339966666664,2.4698862172393645,2.4288303816261245,-1.654449219348317,2,335,-0.9858147743813158,4.959525829987516
1319,Sr(SbO3)2,Sr(SbO3)2_Va_O1,2.9061999999999997,-2.3865939085185186,2.561666666666667,2.035490482256219,0.7147319307183222,2,71,-0.5208045461292565,6.343665406811406
1320,Sr2CeO4,Sr2CeO4_Va_O1,2.8113,-3.4935232297619043,1.7461864139507632,1.5237580760513547,2.012499447644865,2,299,-1.974911567461291,9.181501625815043
1321,Sr2CeO4,Sr2CeO4_Va_O2,2.8113,-3.4935232297619043,1.6160149065174287,1.3414551932417476,2.3174261414614614,2,419,-1.974911567461291,8.46002196578819
1322,Sr2GeO4,Sr2GeO4_Va_O1,3.5318999999999994,-2.9120691372619047,2.0119919774690533,1.7370118308883735,1.747469324067139,2,63,-1.502819088333178,7.235460606090049
1323,Sr2GeO4,Sr2GeO4_Va_O2,3.5318999999999994,-2.9120691372619047,1.801454504713544,1.8924632325639064,1.7920450674957245,2,79,-1.502819088333178,8.141239563346236
1324,Sr2GeO4,Sr2GeO4_Va_O3,3.5318999999999994,-2.9120691372619047,1.84635061077502,1.8548873432259887,0.53923867848175,2,95,-1.502819088333178,8.18156133023514
1325,Sr2PbO4,Sr2PbO4_Va_O1,1.4673000000000005,-2.466891851190476,1.8333932892028373,1.2909229458646654,1.695851339956143,2,299,-0.2712847561180753,8.44290674797818
1326,Sr2PbO4,Sr2PbO4_Va_O2,1.4673000000000005,-2.466891851190476,2.130806746421933,1.2647395656126572,0.871799279393813,2,419,-0.2712847561180753,7.929070077956487
1327,Sr2Sb2O7,Sr2Sb2O7_Va_O1,1.5038,-2.5705959062121213,2.459055399322205,2.6840017410813624,0.0712016207670784,2,255,-0.5208045461292565,7.052332205944591
1328,Sr2Sb2O7,Sr2Sb2O7_Va_O2,1.5038,-2.5705959062121213,2.4560691981034015,2.865612737955333,0.1185994727642563,2,287,-0.5208045461292565,6.687254863333671
1329,Sr2Sb2O7,Sr2Sb2O7_Va_O3,1.5038,-2.5705959062121213,2.013854602303889,1.7970500046544078,1.6168808596254638,2,351,-0.5208045461292565,6.886168050776487
1330,Sr2SiO4,Sr2SiO4_Va_O2,4.5842,-3.422863758690476,1.8141372600035992,2.1815756368674126,1.1856895671429464,2,79,-2.356834901289411,8.55670638940976
