,formula,full_name,ave_ele_diele,ave_ion_diele,band_gap,cbm_d,cbm_f,cbm_p,cbm_s,formation_energy,vbm_d,vbm_f,vbm_p,vbm_s,ave_bec,bader_charge,bader_volume,nn_ave_ave_bec,nn_ave_bader_charge,nn_ave_eleneg,nn_max_ave_bec,nn_max_bader_charge,nn_max_eleneg,nn_min_ave_bec,nn_min_bader_charge,nn_min_eleneg,o2p_center_from_vbm,Bi,Ag,O,vacancy_formation_energy,Hg,Au,Ge,Al,Pb,Zn,As,Cu,Sb,Mo,Tl,B,Ba,Ca,Pd,Cd,Pt,Ce,Hf,In,Ga,La,Ta,Mg,Si,Sc,Sn,Ti,Y,Zr,Nb,Na,Sr,V,Li,Be,W,Cr,Cs,K,Re,Rb,charge,vacancy_index
1929,BaAl2Sb2O7,BaAl2Sb2O7_Va_O2,3.5020973333333334,5.562936999999999,3.2695000000000003,0.1292956730117178,0.0,0.7619711079771675,0.1087332190111149,-2.7688808362499993,0.009953877800251,0.0,0.8621264018205032,0.1279197203792456,-1.9510333333333332,-1.4448230000000004,17.45549,1.9497049353313984,1.5177588106485755,2.0252082817286667,2.6070733333333336,2.045122,2.05,2.56785,1.93485,1.61,2.0265908320338952,0.0,0.0,0.1425417254270544,4.667804569419321,0.0,0.0,0.0,0.5066470832157706,0.0,0.0,0.0,0.0,0.350811191357175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,296
1930,BaBAsO5,BaBAsO5_Va_O1,3.1624103333333333,5.873728,3.5195000000000003,0.0316114726438881,0.0,0.4905319680623409,0.4778565592937709,-2.627202876979167,0.0076732315326015,0.0,0.9860816092313602,0.0062451592360385,-1.83007,-1.2392440000000002,12.96697,1.2047420416418655,0.815602940515119,2.314820248364252,2.5733866666666665,1.762031,2.04,2.5733833333333336,1.711844,2.04,3.325612670939345,0.0,0.0,0.3232521557053852,3.758958859010048,0.0,0.0,0.0,0.0,0.0,0.0,0.0004660033422852,0.0,0.0,0.0,0.0,0.5216748756556274,0.1546069652967021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,95
1931,BaBAsO5,BaBAsO5_Va_O3,3.1624103333333333,5.873728,3.5195000000000003,0.0316114726438881,0.0,0.4905319680623409,0.4778565592937709,-2.627202876979167,0.0076732315326015,0.0,0.9860816092313602,0.0062451592360385,-1.7904099999999998,-1.2030690000000002,11.707415,1.2628411181934354,0.9343272759474132,2.37488640200072,3.387896666666667,2.777934,2.18,2.5733833333333336,1.711844,0.89,3.847976673389996,0.0,0.0,0.3570386874072334,1.2019807495419954,0.0,0.0,0.0,0.0,0.0,0.0,0.2321526904480355,0.0,0.0,0.0,0.0,0.2390963290733119,0.171712293071419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,191
1932,BaBe2(BO3)2,BaBe2(BO3)2_Va_O1,3.0035853333333336,6.614782000000001,5.462999999999999,0.4659011173177312,0.0,0.3215928032894954,0.2125060793927734,-3.120560989848485,0.0077953914905098,0.0,0.9805012318577786,0.0117033766517113,-1.74781,-1.3521869999999998,12.431683,1.3417653626117272,1.0940394206162212,1.9875133667322735,2.050056666666667,1.89409,2.04,1.8678966666666668,1.355991,1.57,3.296243841007387,0.0,0.0,0.1758569865858928,4.106433055790997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2899818091474923,0.0700450712980406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4641161329685743,0.0,0.0,0.0,0.0,0.0,0.0,1,167
1933,BaBe2(BO3)2,BaBe2(BO3)2_Va_O2,3.0035853333333336,6.614782000000001,5.462999999999999,0.4659011173177312,0.0,0.3215928032894954,0.2125060793927734,-3.120560989848485,0.0077953914905098,0.0,0.9805012318577786,0.0117033766517113,-1.7654066666666666,-1.1950390000000004,13.648471,1.3426671181547312,0.8930829216881307,1.972611280803404,2.7213499999999997,1.7820250000000009,2.04,1.8678966666666668,1.319682,0.89,2.6692977679936583,0.0,0.0,0.2105467044787387,4.659700585819075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3231191943110738,0.2102604086735908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2560736925365967,0.0,0.0,0.0,0.0,0.0,0.0,1,175
1934,BaBe2Si2O7,BaBe2Si2O7_Va_O1,3.0931116666666667,6.488955999999999,5.653700000000001,0.0373018783202677,0.0,0.1750191498181946,0.7876789718615379,-3.3066602608333335,0.0094974496240729,0.0,0.9827362981125674,0.0077662522633597,-1.82065,-1.6827449999999995,14.306842,1.1183854493515422,1.106519609319476,2.3495194380769737,3.0624466666666663,3.231884,3.44,-1.7876166666666666,-1.6705240000000003,0.89,3.392404168825844,0.0,0.0,0.3899531838307104,4.340714556377198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1495133317052679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4605334844640216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,47
1935,BaBe2Si2O7,BaBe2Si2O7_Va_O2,3.0931116666666667,6.488955999999999,5.653700000000001,0.0373018783202677,0.0,0.1750191498181946,0.7876789718615379,-3.3066602608333335,0.0094974496240729,0.0,0.9827362981125674,0.0077662522633597,-1.7876166666666666,-1.6761730000000004,14.859062,1.1744910979520966,1.0212858428177576,2.1278745441649876,3.0624466666666663,3.221278,3.44,-1.82065,-1.6843500000000002,0.89,2.170805629393562,0.0,0.0,0.3145888824457188,4.53198414235228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.170790386798969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2597902939842198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2548304367710922,0.0,0.0,0.0,0.0,0.0,0.0,1,63
1936,BaBe2Si2O7,BaBe2Si2O7_Va_O3,3.0931116666666667,6.488955999999999,5.653700000000001,0.0373018783202677,0.0,0.1750191498181946,0.7876789718615379,-3.3066602608333335,0.0094974496240729,0.0,0.9827362981125674,0.0077662522633597,-1.81377,-1.6141199999999998,14.478345,1.2776095905796392,1.0950018484566617,2.0713888722832077,3.0624466666666663,3.221278,1.9,1.88175,1.605387,0.89,2.3191452154611216,0.0,0.0,0.291633536371579,4.448802348645432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1908883129949314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2601157942572966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2573623563761929,0.0,0.0,0.0,0.0,0.0,0.0,1,79
1937,BaBe2Si2O7,BaBe2Si2O7_Va_O4,3.0931116666666667,6.488955999999999,5.653700000000001,0.0373018783202677,0.0,0.1750191498181946,0.7876789718615379,-3.3066602608333335,0.0094974496240729,0.0,0.9827362981125674,0.0077662522633597,-1.80297,-1.5726449999999996,13.444934,1.3577832059931272,1.2445150829952003,2.043594475797828,3.0624466666666663,3.231241,1.9,1.88175,1.599352,1.57,2.9169485351081157,0.0,0.0,0.2314664333448911,4.241115087361609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0556688799434672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2382032842558763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4746614024557655,0.0,0.0,0.0,0.0,0.0,0.0,1,95
1938,BaBeSiO4,BaBeSiO4_Va_O1,3.002328666666667,6.357035666666667,4.6335,0.0916969125638068,0.0,0.2119790740068278,0.6963240134293653,-3.324616174999999,0.0092596202101845,0.0,0.9846552492647668,0.0060851305250486,-1.92094,-1.4730220000000005,15.222471,1.3821720574528218,0.9807319971470158,1.9702704193946723,3.0463133333333334,2.7172289999999997,3.44,-1.89361,-1.389493,0.89,2.6515454803051592,0.0,0.0,0.2622073303690812,4.271042867014456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2524410954424326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2472807772889241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2380707968995621,0.0,0.0,0.0,0.0,0.0,0.0,1,215
1939,BaBeSiO4,BaBeSiO4_Va_O2,3.002328666666667,6.357035666666667,4.6335,0.0916969125638068,0.0,0.2119790740068278,0.6963240134293653,-3.324616174999999,0.0092596202101845,0.0,0.9846552492647668,0.0060851305250486,-1.89361,-1.389493,19.023837,1.2670837365958922,0.9185206680955308,2.036395173076552,3.0463133333333334,2.7172289999999997,3.44,-1.92094,-1.5018000000000002,0.89,2.6104378530900005,0.0,0.0,0.2873657182513863,4.332355931729143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2257580561410862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2501113882496906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2367648373578369,0.0,0.0,0.0,0.0,0.0,0.0,1,179
