site,formula,full_name,valence,bv_sum_Crystal,bv_sum_nn,BVS_ratio,element
298,NaInO2,NaInO2_Va_O1,-2,-1.5339890421072908,-1.5339890421072906,0.7669945210536454,O
196,NaLi2AsO4,NaLi2AsO4_Va_O1,-2,-1.98400392647879,-2.03209607536343,0.992001963239395,O
214,NaLi2AsO4,NaLi2AsO4_Va_O2,-2,-2.035959983623941,-2.0359599836239415,1.0179799918119705,O
286,NaLi2AsO4,NaLi2AsO4_Va_O3,-2,-2.187547206278425,-2.187547206278425,1.0937736031392125,O
268,NaSbO3,NaSbO3_Va_O1,-2,-2.2391830002331927,-2.2391830002331927,1.1195915001165964,O
64,NaSr3BiO6,NaSr3BiO6_Va_O1,-2,-1.8664272084460332,-1.8664272084460332,0.9332136042230166,O
64,NaSr3SbO6,NaSr3SbO6_Va_O1,-2,-1.8846949957250048,-1.8846949957250052,0.9423474978625024,O
430,NaSrBO3,NaSrBO3_Va_O1,-2,-0.9830596585735321,-1.9059718243165622,0.49152982928676603,O
412,NaSrBO3,NaSrBO3_Va_O2,-2,-0.9762223376473153,-1.8938510404289883,0.4881111688236576,O
298,NaTlO2,NaTlO2_Va_O1,-2,-2.392177166624528,-2.3921771666245277,1.196088583312264,O
430,NaTlO,NaTlO_Va_O1,-2,-1.9535489906925632,-1.9535489906925632,0.9767744953462816,O
78,Pb3O4,Pb3O4_Va_O1,nan,-2.1289476490772676,-2.128947649077268,1.0644738245386338,O
110,Pb3O4,Pb3O4_Va_O2,nan,-1.8985891362867449,-1.8985891362867449,0.9492945681433724,O
232,Rb2Al2Sb2O7,Rb2Al2Sb2O7_Va_O1,-2,-1.8886247825966729,-1.8886247825966729,0.9443123912983364,O
214,Rb2Al2Sb2O7,Rb2Al2Sb2O7_Va_O2,-2,-1.8696727567750098,-1.8696727567750098,0.9348363783875049,O
334,Rb2Be2O3,Rb2Be2O3_Va_O1,-2,-1.1830251267319203,-1.5470110767224725,0.5915125633659601,O
322,Rb2Be2O3,Rb2Be2O3_Va_O2,-2,-1.1836353190585265,-1.5891116309539814,0.5918176595292632,O
430,Rb2CeO3,Rb2CeO3_Va_O1,-2,-1.8377117765070252,-1.6754232503392692,0.9188558882535126,O
394,Rb2CeO3,Rb2CeO3_Va_O2,-2,-1.7630221066708045,-1.6403306580182286,0.8815110533354023,O
214,Rb2Li2GeO4,Rb2Li2GeO4_Va_O1,-2,-1.4302578100960917,-1.617924521232586,0.7151289050480458,O
250,Rb2Li2GeO4,Rb2Li2GeO4_Va_O2,-2,-1.5142316421157,-1.6470034136624812,0.75711582105785,O
286,Rb2Li2GeO4,Rb2Li2GeO4_Va_O3,-2,-1.0410576631426414,-1.606238053674673,0.5205288315713207,O
322,Rb2Li2GeO4,Rb2Li2GeO4_Va_O4,-2,-1.4769481243698577,-1.4769481243698575,0.7384740621849288,O
214,Rb2Li2SiO4,Rb2Li2SiO4_Va_O1,-2,-1.6628935174371893,-1.8492478213125656,0.8314467587185946,O
250,Rb2Li2SiO4,Rb2Li2SiO4_Va_O2,-2,-1.7595257138088,-1.8825080917450157,0.8797628569044,O
286,Rb2Li2SiO4,Rb2Li2SiO4_Va_O3,-2,-1.2581760694383104,-1.8453150799219435,0.6290880347191552,O
322,Rb2Li2SiO4,Rb2Li2SiO4_Va_O4,-2,-1.6738584296370431,-1.6738584296370431,0.8369292148185216,O
78,Rb2Li3GaO4,Rb2Li3GaO4_Va_O1,-2,-1.2673252209009758,-1.2673252209009758,0.6336626104504879,O
94,Rb2LiAsO4,Rb2LiAsO4_Va_O2,-2,-1.9875947863080807,-1.8282950202400345,0.9937973931540404,O
126,Rb2LiAsO4,Rb2LiAsO4_Va_O3,-2,-1.964139461765466,-1.7914467753077008,0.982069730882733,O
78,Rb2MgO2,Rb2MgO2_Va_O1,-2,-0.845435907725116,-1.23401162340414,0.422717953862558,O
94,Rb2O,Rb2O_Va_O1,-2,-0.9735976637551466,-0.9735976637551467,0.4867988318775733,O
250,Rb2PbO2,Rb2PbO2_Va_O1,-2,-1.624675654732428,-1.6246756547324277,0.812337827366214,O
286,Rb2PbO2,Rb2PbO2_Va_O2,-2,-1.7104941238242202,-1.7104941238242202,0.8552470619121101,O
322,Rb2PbO2,Rb2PbO2_Va_O3,-2,-1.5706854087793358,-1.5706854087793358,0.7853427043896679,O
358,Rb2PbO2,Rb2PbO2_Va_O4,-2,-1.730932604079289,-1.730932604079289,0.8654663020396445,O
430,Rb2PbO3,Rb2PbO3_Va_O1,-2,-1.7997049805208292,-1.7451142034884117,0.8998524902604146,O
94,Rb2Si3SnO9,Rb2Si3SnO9_Va_O1,-2,-2.0704281163874567,-2.193959191351033,1.0352140581937284,O
118,Rb2Si3SnO9,Rb2Si3SnO9_Va_O2,-2,-2.2567661072806136,-2.2567661072806136,1.1283830536403068,O
478,Rb2SnO2,Rb2SnO2_Va_O2,-2,-1.5853704639525854,-1.5853704639525852,0.7926852319762927,O
430,Rb2SnO3,Rb2SnO3_Va_O1,-2,-1.743028122371776,-1.6770179856291496,0.871514061185888,O
