,formula,defectid,dH_eV_per_atom,dH_eV_per_atom_min,adjusted_dH
471,Fe6O13Sr4,0162339,-2.2644,-2.2644,0.0
472,Fe6O13Sr4,0162339,-2.2644,-2.2644,0.0
473,Fe6O13Sr4,0162339,-2.2644,-2.2644,0.0
474,Fe6O13Sr4,0162339,-2.2644,-2.2644,0.0
475,Fe6O13Sr4,0162339,-2.2644,-2.2644,0.0
476,Fe6O13Sr4,0162339,-2.2644,-2.2644,0.0
477,Fe6O13Sr4,0162339,-2.2644,-2.2644,0.0
478,Fe6O13Sr4,0162339,-2.2644,-2.2644,0.0
479,Fe6O13Sr4,0162339,-2.2644,-2.2644,0.0
480,Fe6O13Sr4,0162339,-2.2644,-2.2644,0.0
481,Fe6O13Sr4,0162339,-2.2644,-2.2644,0.0
482,Fe6O13Sr4,0162339,-2.2644,-2.2644,0.0
483,Fe5O12Y3,0162642,-2.6017,-2.6017,0.0
484,La1Mn2O5,0163417,-2.6116,-2.6116,0.0
485,La1Mn2O5,0163417,-2.6116,-2.6116,0.0
486,La1Mn2O5,0163417,-2.6116,-2.6116,0.0
487,La1Mn2O5,0163417,-2.6116,-2.6116,0.0
488,Ba1Fe12O19,0167571,-1.8206,-1.8206,0.0
489,Ba1Fe12O19,0167571,-1.8206,-1.8206,0.0
490,Ba1Fe12O19,0167571,-1.8206,-1.8206,0.0
491,Ba1Fe12O19,0167571,-1.8206,-1.8206,0.0
492,Ba1Fe12O19,0167571,-1.8206,-1.8206,0.0
493,Ba1Fe12O19,0167571,-1.8206,-1.8206,0.0
494,Ba1Fe12O19,0167571,-1.8206,-1.8206,0.0
495,Ba1Fe12O19,0167571,-1.8206,-1.8206,0.0
496,Ba1Fe12O19,0167571,-1.8206,-1.8206,0.0
497,Ba1Fe12O19,0167571,-1.8206,-1.8206,0.0
498,Ba1Fe12O19,0167571,-1.8206,-1.8206,0.0
499,Ba1Fe12O19,0167571,-1.8206,-1.8206,0.0
500,Ba1Fe12O19,0167571,-1.8206,-1.8206,0.0
501,Ba1Fe12O19,0167571,-1.8206,-1.8206,0.0
502,Ba1Fe12O19,0167571,-1.8206,-1.8206,0.0
503,Ba1Fe12O19,0167571,-1.8206,-1.8206,0.0
504,Ba1Fe12O19,0167571,-1.8206,-1.8206,0.0
505,Ba1Fe12O19,0167571,-1.8206,-1.8206,0.0
506,Ba1Fe12O19,0167571,-1.8206,-1.8206,0.0
507,Ba1Fe12O19,0167571,-1.8206,-1.8206,0.0
508,Ba1Fe12O19,0167571,-1.8206,-1.8206,0.0
509,Ba1Fe12O19,0167571,-1.8206,-1.8206,0.0
510,Ba1Fe12O19,0167571,-1.8206,-1.8206,0.0
511,Ba1Fe12O19,0167571,-1.8206,-1.8206,0.0
512,Ba1Fe12O19,0167571,-1.8206,-1.8206,0.0
513,Ba1Fe12O19,0167571,-1.8206,-1.8206,0.0
514,Ba1Fe12O19,0167571,-1.8206,-1.8206,0.0
515,Ba1Fe12O19,0167571,-1.8206,-1.8206,0.0
516,Co1La1O3,0169397,-2.6088,-2.6088,0.0
517,Co1La1O3,0169397,-2.6088,-2.6088,0.0
518,Ba2Fe1O4,0169441,-2.4686,-2.4686,0.0
519,Ba2Fe1O4,0169441,-2.4686,-2.4686,0.0
520,Ba2Fe1O4,0169441,-2.4686,-2.4686,0.0
521,Ba2Fe1O4,0169441,-2.4686,-2.4686,0.0
522,Ba2Co1O4,0169661,-2.3476,-2.3476,0.0
523,Ba2Co1O4,0169661,-2.3476,-2.3476,0.0
524,Ba2Co1O4,0169661,-2.3476,-2.3476,0.0
525,Ba2Co1O4,0169661,-2.3476,-2.3476,0.0
526,Co2Mn3O8,0170164,-1.7434,-1.7434,0.0
527,Co2Mn3O8,0170164,-1.7434,-1.7434,0.0
528,Co2Mn3O8,0170164,-1.7434,-1.7434,0.0
529,Co2Mn3O8,0170164,-1.7434,-1.7434,0.0
530,Co2Mn3O8,0170164,-1.7434,-1.7434,0.0
531,Co2Mn3O8,0170164,-1.7434,-1.7434,0.0
532,Co4Nb2O9,0170357,-2.1223,-2.1223,0.0
533,Co4Nb2O9,0170357,-2.1223,-2.1223,0.0
534,Ca1Fe1O2,0170770,-2.4076,-2.4076,0.0
535,Co5O15Sr6,0171017,-2.2293,-2.2293,0.0
536,Co5O15Sr6,0171017,-2.2293,-2.2293,0.0
537,Co5O15Sr6,0171017,-2.2293,-2.2293,0.0
538,Co5O15Sr6,0171017,-2.2293,-2.2293,0.0
539,Co5O15Sr6,0171017,-2.2293,-2.2293,0.0
540,Co5O15Sr6,0171017,-2.2293,-2.2293,0.0
541,Co5O15Sr6,0171017,-2.2293,-2.2293,0.0
542,Co5O15Sr6,0171017,-2.2293,-2.2293,0.0
543,Co5O15Sr6,0171017,-2.2293,-2.2293,0.0
544,Co5O15Sr6,0171017,-2.2293,-2.2293,0.0
545,Co5O15Sr6,0171017,-2.2293,-2.2293,0.0
546,Co5O15Sr6,0171017,-2.2293,-2.2293,0.0
547,Co5O15Sr6,0171017,-2.2293,-2.2293,0.0
548,Co5O15Sr6,0171017,-2.2293,-2.2293,0.0
549,Co5O15Sr6,0171017,-2.2293,-2.2293,0.0
550,Fe1La1O3,0174238,-2.8496,-2.8496,0.0
551,Fe1La1O3,0174238,-2.8496,-2.8496,0.0
552,Fe1La3O6,0174252,-3.3277,-3.3277,0.0
553,Fe1La3O6,0174252,-3.3277,-3.3277,0.0
554,Fe1La3O6,0174252,-3.3277,-3.3277,0.0
555,Fe1La3O6,0174252,-3.3277,-3.3277,0.0
556,Fe1Nb2O6,0176178,-2.6231,-2.6231,0.0
557,Fe1Nb2O6,0176178,-2.6231,-2.6231,0.0
558,Fe1Nb2O6,0176178,-2.6231,-2.6231,0.0
559,In1Nb1O4,0176585,-2.4992,-2.4992,0.0
560,In1Nb1O4,0176585,-2.4992,-2.4992,0.0
561,Mn1O3Y1,0177189,-3.02,-3.02,0.0
562,Mn1O3Y1,0177189,-3.02,-3.02,0.0
563,Mn5O8,0178128,-1.9623,-1.9623,0.0
564,Mn5O8,0178128,-1.9623,-1.9623,0.0
565,Mn5O8,0178128,-1.9623,-1.9623,0.0
566,Mn5O8,0178128,-1.9623,-1.9623,0.0
567,Mn2O7Y2,0179580,-2.8583,-2.8583,0.0
568,Mn2O7Y2,0179580,-2.8583,-2.8583,0.0
569,Mn4O13Sr7,0179730,-2.728,-2.728,0.0
570,Mn4O13Sr7,0179730,-2.728,-2.728,0.0
571,Mn4O13Sr7,0179730,-2.728,-2.728,0.0
572,Mn4O13Sr7,0179730,-2.728,-2.728,0.0
573,Mn4O13Sr7,0179730,-2.728,-2.728,0.0
574,Mn4O13Sr7,0179730,-2.728,-2.728,0.0
575,Mn4O13Sr7,0179730,-2.728,-2.728,0.0
576,Nb2O9Sr4,0182299,-3.2261,-3.2261,0.0
577,Nb2O9Sr4,0182299,-3.2261,-3.2261,0.0
578,Ba1Co1O2,0182355,-2.2085,-2.2085,0.0
579,Ba3Mn2O8,0184694,-2.4275,-2.4275,0.0
580,Ba3Mn2O8,0184694,-2.4275,-2.4275,0.0
581,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
582,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
583,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
584,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
585,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
586,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
587,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
588,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
589,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
590,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
591,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
592,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
593,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
594,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
595,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
596,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
597,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
598,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
599,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
600,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
601,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
602,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
603,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
604,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
605,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
606,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
607,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
608,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
609,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
610,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
611,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
612,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
613,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
614,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
615,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
616,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
617,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
618,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
619,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
620,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
621,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
622,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
623,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
624,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
625,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
626,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
627,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
628,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
629,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
630,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
631,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
632,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
633,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
634,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
635,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
636,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
637,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
638,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
639,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
640,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
641,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
642,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
643,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
644,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
645,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
646,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
647,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
648,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
649,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
650,Ba2Fe2O5,0185027,-2.3719,-2.3719,0.0
651,Ba5Co5O14,0185107,-2.0916,-2.0916,0.0
652,Ba5Co5O14,0185107,-2.0916,-2.0916,0.0
653,Ba5Co5O14,0185107,-2.0916,-2.0916,0.0
654,Ba5Co5O14,0185107,-2.0916,-2.0916,0.0
655,Ba5Co5O14,0185107,-2.0916,-2.0916,0.0
656,Ba2Mn1O3,0185165,-2.6289,-2.6289,0.0
657,Ba2Mn1O3,0185165,-2.6289,-2.6289,0.0
658,Ba2Mn1O3,0185165,-2.6289,-2.6289,0.0
659,Ba2Mn1O3,0185165,-2.6289,-2.6289,0.0
660,Ba3Fe1O5,0185205,-2.5461,-2.5461,0.0
661,Ba3Fe1O5,0185205,-2.5461,-2.5461,0.0
662,Ba3Fe1O5,0185205,-2.5461,-2.5461,0.0
663,Ba3Fe1O5,0185205,-2.5461,-2.5461,0.0
664,Ba1Mn2O8,0185408,-1.4768,-1.4768,0.0
665,Ba1Mn2O8,0185408,-1.4768,-1.4768,0.0
666,Ba4Mn3O10,0185492,-2.5596,-2.5596,0.0
667,Ba4Mn3O10,0185492,-2.5596,-2.5596,0.0
668,Ba4Mn3O10,0185492,-2.5596,-2.5596,0.0
669,Ba4Mn3O10,0185492,-2.5596,-2.5596,0.0
670,Co1O2,0187243,-1.0491,-1.0491,0.0
671,Fe1Nb1O4,0188731,-2.3956,-2.3956,0.0
672,Fe1Nb1O4,0188731,-2.3956,-2.3956,0.0
673,Fe1Nb1O4,0188731,-2.3956,-2.3956,0.0
674,Fe1Nb1O4,0188731,-2.3956,-2.3956,0.0
675,Fe1O3Y1,0188787,-2.8716,-2.8716,0.0
676,Fe1O3Y1,0188787,-2.8716,-2.8716,0.0
677,Fe3O4,0191339,-1.719,-1.719,0.0
678,Fe3O4,0191339,-1.719,-1.719,0.0
679,Fe3O4,0191847,-1.7185,-1.719,0.000500000000000167
680,Fe3O4,0191847,-1.7185,-1.719,0.000500000000000167
681,La1Mn7O12,0193122,-2.2472,-2.2472,0.0
682,La1Mn7O12,0193122,-2.2472,-2.2472,0.0
683,La1Mn7O12,0193122,-2.2472,-2.2472,0.0
684,La1Mn7O12,0193122,-2.2472,-2.2472,0.0
685,La2Ni1O4,0193359,-3.0655,-3.0655,0.0
686,La2Ni1O4,0193359,-3.0655,-3.0655,0.0
687,Mn2O7Sr3,0193429,-2.6087,-2.6087,0.0
688,Mn2O7Sr3,0193429,-2.6087,-2.6087,0.0
689,Mn2O7Sr3,0193429,-2.6087,-2.6087,0.0
690,Mn1O4Sr2,0194281,-2.7101,-2.7101,0.0
691,Mn1O4Sr2,0194281,-2.7101,-2.7101,0.0
692,Nb2Ni1O6,0194560,-2.5515,-2.5515,0.0
693,Nb2Ni1O6,0194560,-2.5515,-2.5515,0.0
694,Nb2Ni1O6,0194560,-2.5515,-2.5515,0.0
695,Mn1Nb2O6,0194582,-2.759,-2.759,0.0
696,Mn1Nb2O6,0194582,-2.759,-2.759,0.0
697,Mn1Nb2O6,0194582,-2.759,-2.759,0.0
698,Mn1O3Ti1,0194723,-2.8389,-2.8389,0.0
699,Nb6O16Sr1,0195961,-2.9673,-2.9673,0.0
700,Nb6O16Sr1,0195961,-2.9673,-2.9673,0.0
701,Nb6O16Sr1,0195961,-2.9673,-2.9673,0.0
702,Nb6O16Sr1,0195961,-2.9673,-2.9673,0.0
703,Nb6O16Sr1,0195961,-2.9673,-2.9673,0.0
704,Nb6O16Sr1,0195961,-2.9673,-2.9673,0.0
705,Nb6O16Sr1,0195961,-2.9673,-2.9673,0.0
706,Nb6O16Sr1,0195961,-2.9673,-2.9673,0.0
707,Nb6O16Sr1,0195961,-2.9673,-2.9673,0.0
708,Nb6O16Sr1,0195961,-2.9673,-2.9673,0.0
709,Al2Fe1O4,0289591,-2.9258,-2.9258,0.0
710,Ba1Ce1O3,0289614,-3.4947,-3.4947,0.0
711,Ba1Ce1O3,0289614,-3.4947,-3.4947,0.0
712,Ba1Mn1O3,0289618,-2.4925,-2.4925,0.0
713,Ba2O4Ti1,0289663,-3.295,-3.295,0.0
714,Ba2O4Ti1,0289663,-3.295,-3.295,0.0
715,Ba2O4Ti1,0289663,-3.295,-3.295,0.0
716,Ba2O4Ti1,0289663,-3.295,-3.295,0.0
717,Ba5Nb4O15,0289691,-3.1904,-3.1904,0.0
718,Ba5Nb4O15,0289691,-3.1904,-3.1904,0.0
719,Ba5Nb4O15,0289691,-3.1904,-3.1904,0.0
720,Ca1Ce1O3,0289729,-3.495,-3.495,0.0
721,Ca1O3Ti1,0289774,-3.4114,-3.4114,0.0
722,Ca1O3Ti1,0289774,-3.4114,-3.4114,0.0
723,Ca2Nb2O7,0289796,-3.1852,-3.1852,0.0
724,Ca2Nb2O7,0289796,-3.1852,-3.1852,0.0
725,Ca2Nb2O7,0289796,-3.1852,-3.1852,0.0
726,Ca2Nb2O7,0289796,-3.1852,-3.1852,0.0
727,Ca2Nb2O7,0289796,-3.1852,-3.1852,0.0
728,Ca2Nb2O7,0289796,-3.1852,-3.1852,0.0
729,Ca2Nb2O7,0289796,-3.1852,-3.1852,0.0
730,Ca2Nb2O7,0289796,-3.1852,-3.1852,0.0
731,Ca2Nb2O7,0289796,-3.1852,-3.1852,0.0
732,Ca2Nb2O7,0289796,-3.1852,-3.1852,0.0
733,Ca2Nb2O7,0289796,-3.1852,-3.1852,0.0
734,Ca2Nb2O7,0289796,-3.1852,-3.1852,0.0
735,Ca2Nb2O7,0289796,-3.1852,-3.1852,0.0
736,Ca2Nb2O7,0289796,-3.1852,-3.1852,0.0
737,Al1Ce1O3,0289832,-3.7122,-3.7122,0.0
738,Al1Ce1O3,0289832,-3.7122,-3.7122,0.0
739,Ce1O2,0289838,-3.7689,-3.7689,0.0
740,Ce2O3,0289862,-3.8235,-3.8235,0.0
741,Ce2O3,0289862,-3.8235,-3.8235,0.0
742,Al1La1O3,0289874,-3.7038,-3.7038,0.0
743,La1Mn1O3,0289876,-2.9614,-2.9891,0.02770000000000028
744,La1Mn1O3,0289876,-2.9614,-2.9891,0.02770000000000028
745,La1Nb1O4,0289885,-3.427,-3.427,0.0
746,La1Nb1O4,0289885,-3.427,-3.427,0.0
747,La2O3,0289934,-3.7723,-3.7998,0.027499999999999858
748,La2O3,0289934,-3.7723,-3.7998,0.027499999999999858
749,Ce2La2O7,0289949,-3.7725,-3.7725,0.0
750,Ce2La2O7,0289949,-3.7725,-3.7725,0.0
751,Ce1Mg1O3,0289952,-3.2928,-3.2928,0.0
752,Ce1Mg1O3,0289952,-3.2928,-3.2928,0.0
753,Mg1O3Ti1,0290005,-3.2606,-3.2606,0.0
754,Mg2O4Ti1,0290062,-3.2135,-3.2135,0.0
755,Mg2O4Ti1,0290062,-3.2135,-3.2135,0.0
756,Mg1O5Ti2,0290080,-3.2744,-3.2744,0.0
757,Mg1O5Ti2,0290080,-3.2744,-3.2744,0.0
758,Mg1O5Ti2,0290080,-3.2744,-3.2744,0.0
759,Nb2O5,0290102,-2.8659,-2.8694,0.0035000000000002807
760,Nb2O5,0290102,-2.8659,-2.8694,0.0035000000000002807
761,Nb2O5,0290102,-2.8659,-2.8694,0.0035000000000002807
762,Nb2O5,0290125,-2.8694,-2.8694,0.0
763,Nb2O5,0290125,-2.8694,-2.8694,0.0
764,Nb2O5,0290125,-2.8694,-2.8694,0.0
765,Ce1O3Sr1,0290130,-3.5177,-3.5177,0.0
766,Ce1O3Sr1,0290130,-3.5177,-3.5177,0.0
767,Ce1O4Sr2,0290198,-3.432,-3.432,0.0
768,O4Sr2Ti1,0290206,-3.3666,-3.3666,0.0
769,O4Sr2Ti1,0290206,-3.3666,-3.3666,0.0
770,Nb2O7Sr2,0290243,-3.2126,-3.2126,0.0
771,Nb2O7Sr2,0290243,-3.2126,-3.2126,0.0
772,Nb2O7Sr2,0290243,-3.2126,-3.2126,0.0
773,Nb2O7Sr2,0290243,-3.2126,-3.2126,0.0
774,Nb2O7Sr2,0290243,-3.2126,-3.2126,0.0
775,Nb2O7Sr2,0290243,-3.2126,-3.2126,0.0
776,Nb2O7Sr2,0290243,-3.2126,-3.2126,0.0
777,Nb2O7Sr2,0290243,-3.2126,-3.2126,0.0
778,Nb2O7Sr2,0290243,-3.2126,-3.2126,0.0
779,Nb2O7Sr2,0290243,-3.2126,-3.2126,0.0
780,Nb2O7Sr2,0290243,-3.2126,-3.2126,0.0
781,Nb2O7Sr2,0290243,-3.2126,-3.2126,0.0
782,Nb2O7Sr2,0290243,-3.2126,-3.2126,0.0
783,Nb2O7Sr2,0290243,-3.2126,-3.2126,0.0
784,O3Y2,0290296,-3.9517,-3.9517,0.0
785,Co1La2O4,icsd16404,-3.0882,-3.0882,0.0
786,Co1La2O4,icsd16404,-3.0882,-3.0882,0.0
787,Ba1La2O4,icsd427481,-3.5278,-3.5278,0.0
788,Ba1La2O4,icsd427481,-3.5278,-3.5278,0.0
789,Ba1La2O4,icsd427481,-3.5278,-3.5278,0.0
790,Ba1La2O4,icsd427481,-3.5278,-3.5278,0.0
791,Ba1Ce2O4,icsd427482,-3.5957,-3.5957,0.0
792,Ba1Ce2O4,icsd427482,-3.5957,-3.5957,0.0
793,Ba1Ce2O4,icsd427482,-3.5957,-3.5957,0.0
794,Ba1Ce2O4,icsd427482,-3.5957,-3.5957,0.0
